Provider,Strategy,Template,Count,Percentage
openai,baseline,verbose,1000,100.0
openai,simple_neural,standard,285,28.5
openai,simple_neural,verbose,518,51.8
openai,simple_neural,executive,104,10.4
openai,simple_neural,minimal,74,7.4
openai,simple_neural,technical,19,1.9
openai,roberta,standard,276,27.6
openai,roberta,verbose,532,53.2
openai,roberta,executive,104,10.4
openai,roberta,minimal,71,7.1
openai,roberta,technical,17,1.7
gemini,baseline,verbose,1000,100.0
gemini,simple_neural,standard,285,28.5
gemini,simple_neural,verbose,518,51.8
gemini,simple_neural,executive,104,10.4
gemini,simple_neural,minimal,74,7.4
gemini,simple_neural,technical,19,1.9
gemini,roberta,standard,276,27.6
gemini,roberta,verbose,532,53.2
gemini,roberta,executive,104,10.4
gemini,roberta,minimal,71,7.1
gemini,roberta,technical,17,1.7
claude,baseline,verbose,1000,100.0
claude,simple_neural,standard,285,28.5
claude,simple_neural,verbose,518,51.8
claude,simple_neural,executive,104,10.4
claude,simple_neural,minimal,74,7.4
claude,simple_neural,technical,19,1.9
claude,roberta,standard,276,27.6
claude,roberta,verbose,532,53.2
claude,roberta,executive,104,10.4
claude,roberta,minimal,71,7.1
claude,roberta,technical,17,1.7
